name,sex,transcript
Aba,male,"('A', 'b', 'A')"
Abád,male,"('A', 'b', 'a:', 'd')"
Abbás,male,"('A', 'b', 'b:', 'a:', 'S')"
Abdiás,male,"('A', 'b', 'd', 'i', 'a:', 'S')"
Abdon,male,"('A', 'b', 'd', 'o', 'n')"
Abdullah,male,"('A', 'b', 'd', 'u', 'l', 'l', 'A', 'h')"
Ábel,male,"('a:', 'b', 'E', 'l')"
Abelárd,male,"('A', 'b', 'E', 'l', 'a:', 'R2', 'd')"
Ábner,male,"('a:', 'b', 'n', 'E', 'R2')"
Abod,male,"('A', 'b', 'o', 'd')"
Abony,male,"('A', 'b', 'o', 'n', 'n^')"
Abos,male,"('A', 'b', 'o', 'S')"
Abosa,male,"('A', 'b', 'o', 'S', 'A')"
Ábrahám,male,"('a:', 'b', 'R2', 'A', 'h', 'a:', 'm')"
Ábrám,male,"('a:', 'b', 'R2', 'a:', 'm')"
Ábrán,male,"('a:', 'b', 'R2', 'a:', 'n')"
Ábris,male,"('a:', 'b', 'R2', 'i', 'S')"
Absa,male,"('A', 'b', 'S', 'A')"
Absolon,male,"('A', 'b', 'S', 'o', 'l', 'o', 'n')"
Abud,male,"('A', 'b', 'u', 'd')"
Acél,male,"('A', 'ts', 'e:', 'l')"
Achilles,male,"('A', 'ch', 'ts', 'i', 'l', 'l', 'E', 'S')"
Achillesz,male,"('A', 'ch', 'ts', 'i', 'l', 'l', 'E', 's', 'S')"
Áchim,male,"('a:', 'ts', 'h', 'i', 'm')"
Acsád,male,"('A', 'tS', 'ts', 'a:', 'd')"
Adalbert,male,"('A', 'd', 'A', 'l', 'b', 'E', 'R2', 't')"
Ádám,male,"('a:', 'd', 'a:', 'm')"
Adeboró,male,"('A', 'd', 'E', 'b', 'o', 'R2', 'o:')"
Ádel,male,"('a:', 'd', 'E', 'l')"
Adelmár,male,"('A', 'd', 'E', 'l', 'm', 'a:', 'R2')"
Áden,male,"('a:', 'd', 'E', 'n')"
Adeodát,male,"('A', 'd', 'E', 'o', 'd', 'a:', 't')"
Ádér,male,"('a:', 'd', 'e:', 'R2')"
Ádin,male,"('a:', 'd', 'i', 'n')"
Adnan,male,"('A', 'd', 'n', 'A', 'n')"
Adolár,male,"('A', 'd', 'o', 'l', 'a:', 'R2')"
Adolf,male,"('A', 'd', 'o', 'l', 'f')"
Ádomás,male,"('a:', 'd', 'o', 'm', 'a:', 'S')"
Adonisz,male,"('A', 'd', 'o', 'n', 'i', 's', 'S')"
Adony,male,"('A', 'd', 'o', 'n', 'n^')"
Adorján,male,"('A', 'd', 'o', 'R2', 'j', 'a:', 'n')"
Adrián,male,"('A', 'd', 'R2', 'i', 'a:', 'n')"
Adriánó,male,"('A', 'd', 'R2', 'i', 'a:', 'n', 'o:')"
Agád,male,"('A', 'g', 'a:', 'd')"
Agam,male,"('A', 'g', 'A', 'm')"
Agamemnon,male,"('A', 'g', 'A', 'm', 'E', 'm', 'n', 'o', 'n')"
Agapion,male,"('A', 'g', 'A', 'p', 'i', 'o', 'n')"
Ágas,male,"('a:', 'g', 'A', 'S')"
Agaton,male,"('A', 'g', 'A', 't', 'o', 'n')"
Agenor,male,"('A', 'g', 'E', 'n', 'o', 'R2')"
Aggeus,male,"('A', 'g', 'g:', 'E', 'u', 'S')"
Agmánd,male,"('A', 'g', 'm', 'a:', 'n', 'd')"
Ágost,male,"('a:', 'g', 'o', 'S', 't')"
Ágoston,male,"('a:', 'g', 'o', 'S', 't', 'o', 'n')"
Ahillész,male,"('A', 'h', 'i', 'l', 'l', 'e:', 's', 'S')"
Áhim,male,"('a:', 'h', 'i', 'm')"
Ahmed,male,"('A', 'h', 'm', 'E', 'd')"
Airton,male,"('A', 'i', 'R2', 't', 'o', 'n')"
Ajád,male,"('A', 'j', 'a:', 'd')"
Ajándok,male,"('A', 'j', 'a:', 'n', 'd', 'o', 'k')"
Ájhán,male,"('a:', 'j', 'h', 'a:', 'n')"
Ajtony,male,"('A', 'j', 't', 'o', 'n', 'n^')"
Akács,male,"('A', 'k', 'a:', 'tS', 'ts')"
Akhilleusz,male,"('A', 'k', 'h', 'i', 'l', 'l', 'E', 'u', 's', 'S')"
Akitó,male,"('A', 'k', 'i', 't', 'o:')"
Ákos,male,"('a:', 'k', 'o', 'S')"
Akpan,male,"('A', 'k', 'p', 'A', 'n')"
Aladár,male,"('A', 'l', 'A', 'd', 'a:', 'R2')"
Aladdin,male,"('A', 'l', 'A', 'd', 'd:', 'i', 'n')"
Aladin,male,"('A', 'l', 'A', 'd', 'i', 'n')"
Alajos,male,"('A', 'l', 'A', 'j', 'o', 'S')"
Alán,male,"('A', 'l', 'a:', 'n')"
Alap,male,"('A', 'l', 'A', 'p')"
Alárd,male,"('A', 'l', 'a:', 'R2', 'd')"
Alarik,male,"('A', 'l', 'A', 'R2', 'i', 'k')"
Albert,male,"('A', 'l', 'b', 'E', 'R2', 't')"
Albin,male,"('A', 'l', 'b', 'i', 'n')"
Aldán,male,"('A', 'l', 'd', 'a:', 'n')"
Áldás,male,"('a:', 'l', 'd', 'a:', 'S', 's')"
Aldó,male,"('A', 'l', 'd', 'o:')"
Áldor,male,"('a:', 'l', 'd', 'o', 'R2')"
Alek,male,"('A', 'l', 'E', 'k')"
